RESULT	增救.v 2100005001	拯救 1.0	挽救 0.9	救助 0.8	营救 0.7	援救 0.6	搭救 0.5	救援 0.29999999999999993	抢 0.19999999999999996	铜铁0 -1	铜铁1 -2
RESULT	增救.v 2100006014	救助 1.0	拯救 0.9	营救 0.8	援救 0.7	抢救 0.6	解救 0.5	拉救 0.3999999999999999	 0.19999999999999996	铜铁0 -1	铜铁1 -2
RESULT	女孩.v 2100005003	女性 1.0	姑娘 0.9	少女 0.8	小姐 0.7	妹子 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	女孩.v 2100006003	女儿 1.0	少女 0.9	姑娘 0.8	妞儿 0.7	小姐 0.6	小女孩 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	留.v 2100005006	留下 1.0	记住 0.9	记录 0.8	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	姓名.v 2100005007	名字 1.0	名称 0.9	标签 0.8	标记 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	父母.v 2100006005	家长 1.0	父亲 0.9	母亲 0.8	亲属 0.7	亲戚 0.6	亲人 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	经.v 2100006006	通过 1.0	经过 0.9	尝试 0.8	试图 0.7	尝试过 0.6	试图过. 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	多方.v 2100006007	多种 1.0	多样 0.9	多角度 0.8	多方面 0.7	多种途径 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	打听.v 2100006008	调查 1.0	搜寻 0.9	探究 0.8	查询 0.7	探询 0.6	探索 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	知道.v 2100006011	了解 1.0	发现 0.9	明白 0.8	获悉 0.7	得知 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	知道.v 2101039012	了解 1.0	明白 0.9	认识 0.8	理解 0.7	懂得 0.6	获悉 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	孩子.v 2100006018	儿子 1.0	女儿 0.9	子女 0.8	子弟 0.7	小孩 0.6	小朋友 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	孩子.v 2105007003	儿童 1.0	小孩 0.9	学生 0.8	幼儿 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	回老家.v 2101002003	回乡 1.0	回故乡 0.9	回家乡 0.8	回家庭 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	亲友.v 2101002007	亲戚 1.0	家人 0.9	亲属 0.8	亲戚朋友 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	谈.v 2101002008	讨论 1.0	调侃 0.9	议论 0.8	谈笑 0.7	谈及 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	谈.v 2101003017	讨论 1.0	探讨 0.9	论述 0.8	探究 0.7	探议 0.6	探索 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2101002011	品质 1.0	质素 0.9	质地 0.8	质量控制 0.7	质量标准 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2101003018	质素 1.0	品质 0.9	质地 0.8	质量 0.7	品格 0.6	品位 0.5	品种 0.3999999999999999	品牌 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	质量.v 2101005030	品质 1.0	质素 0.9	品牌 0.8	品格 0.7	品质控制 0.6	质量控制 0.5	 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	质量.v 2101006014	品质 1.0	质素 0.9	质地 0.8	质数 0.7	质量指标 0.6	质量标准 0.5	质 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	质量.v 2101007011	品质 1.0	品牌 0.9	质地 0.8	质量控制 0.7	质量保证 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2101007022	品质 1.0	质素 0.9	品牌 0.8	品种 0.7	品格 0.6	品位 0.5	品质控制 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	质量.v 2101008004	品质 1.0	质地 0.9	品牌 0.8	品类 0.7	性能 0.6	耐用性 0.5	可靠性 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	质量.v 2101009008	品质 1.0	特性 0.9	性能 0.8	标准 0.7	质地 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2101013003	标准 1.0	品质 0.9	水准 0.8	质素 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	质量.v 2101019007	品质 1.0	质地 0.9	质量标准 0.8	质量控制 0.7	质量保证 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
