RESULT	增救.v 2100005001	救 1.0	保护 0.9	杀 0.8	护 0.7	接 0.6	放 0.5	保住 0.3999999999999999	延接 0.29999999999999993	生杀 0.19999999999999996
RESULT	增救.v 2100006014	救 1.0	拯救 0.9	劫持 0.8	解救 0.7	营救 0.6	保护 0.5	劫走 0.3999999999999999	掩护 0.29999999999999993	加害 0.19999999999999996	偷走 0.09999999999999998
RESULT	女孩.v 2100005003	女孩 1.0	她 0.9	人 0.8	他 0.7	我 0.6	男孩 0.5	孩 0.3999999999999999	小孩 0.29999999999999993	孩子 0.19999999999999996	妇女 0.09999999999999998
RESULT	女孩.v 2100006003	女孩 1.0	她 0.9	他 0.8	女 0.7	孩 0.6	我 0.5	男孩 0.3999999999999999	孩子 0.29999999999999993	女生 0.19999999999999996	小孩 0.09999999999999998
RESULT	留.v 2100005006	留 1.0	留下 0.9	留完 0.8	多留 0.7	写下 0.6	保留 0.5	记住 0.3999999999999999	有 0.29999999999999993	见到 0.19999999999999996	说出 0.09999999999999998
RESULT	姓名.v 2100005007	姓名 1.0	名 0.9	姓 0.8	字 0.7	人 0.6	名字 0.5	钱 0.3999999999999999	姓氏 0.29999999999999993	姓字 0.19999999999999996	字迹 0.09999999999999998
RESULT	父母.v 2100006005	父母 1.0	家 0.9	父 0.8	母 0.7	人 0.6	妈 0.5	母亲 0.3999999999999999	家长 0.29999999999999993	爸爸 0.19999999999999996	家人 0.09999999999999998
RESULT	经.v 2100006006	经 1.0	经过 0.9	经由 0.8	通过 0.7	再经 0.6	几经 0.5	历经 0.3999999999999999	已经 0.29999999999999993	曾经 0.19999999999999996	行经 0.09999999999999998
RESULT	多方.v 2100006007	多方 1.0	过 0.9	多 0.8	人 0.7	方 0.6	常 0.5	多次 0.3999999999999999	多面 0.29999999999999993	四方 0.19999999999999996	各方 0.09999999999999998
RESULT	打听.v 2100006008	打听 1.0	打 0.9	查 0.8	问 0.7	找 0.6	看 0.5	查询 0.3999999999999999	告知 0.29999999999999993	沟通 0.19999999999999996	查看 0.09999999999999998
RESULT	知道.v 2100006011	知道 1.0	知 0.9	说 0.8	道 0.7	明 0.6	懂 0.5	知晓 0.3999999999999999	明白 0.29999999999999993	发现 0.19999999999999996	了解 0.09999999999999998
RESULT	知道.v 2101039012	知道 1.0	知 0.9	懂 0.8	把 0.7	说 0.6	道 0.5	明白 0.3999999999999999	懂得 0.29999999999999993	了解 0.19999999999999996	发现 0.09999999999999998
RESULT	孩子.v 2100006018	孩子 1.0	命 0.9	孩 0.8	她 0.7	子 0.6	心 0.5	儿子 0.3999999999999999	宝宝 0.29999999999999993	女儿 0.19999999999999996	子女 0.09999999999999998
RESULT	孩子.v 2105007003	孩子 1.0	人 0.9	孩 0.8	娃 0.7	子 0.6	儿 0.5	儿子 0.3999999999999999	小孩 0.29999999999999993	学子 0.19999999999999996	女孩 0.09999999999999998
RESULT	回老家.v 2101002003	回家 1.0	老家 0.9	回到 0.8	返回 0.7	来到 0.6	离开 0.5	在家 0.3999999999999999	去过 0.29999999999999993	重回 0.19999999999999996	故乡 0.09999999999999998
RESULT	亲友.v 2101002007	亲友 1.0	我 0.9	人 0.8	他 0.7	她 0.6	你 0.5	亲朋 0.3999999999999999	朋友 0.29999999999999993	亲戚 0.19999999999999996	家人 0.09999999999999998
RESULT	谈.v 2101002008	谈 1.0	谈论 0.9	聊 0.8	谈起 0.7	会谈 0.6	谈谈 0.5	说 0.3999999999999999	再聊 0.29999999999999993	提 0.19999999999999996	讲 0.09999999999999998
RESULT	谈.v 2101003017	谈 1.0	谈谈 0.9	谈论 0.8	谈到 0.7	讨论 0.6	探讨 0.5	分析 0.3999999999999999	论谈 0.29999999999999993	讲 0.19999999999999996	评价 0.09999999999999998
RESULT	质量.v 2101002011	质量 1.0	量 0.9	质 0.8	度 0.7	品 0.6	品质 0.5	价格 0.3999999999999999	数量 0.29999999999999993	产量 0.19999999999999996	精神 0.09999999999999998
RESULT	质量.v 2101003018	质量 1.0	量 0.9	质 0.8	好 0.7	价 0.6	钱 0.5	品质 0.3999999999999999	品牌 0.29999999999999993	价格 0.19999999999999996	产品 0.09999999999999998
RESULT	质量.v 2101005030	质量 1.0	质 0.9	量 0.8	性 0.7	的 0.6	重 0.5	品质 0.3999999999999999	量产 0.29999999999999993	产量 0.19999999999999996	价格 0.09999999999999998
RESULT	质量.v 2101006014	质量 1.0	量 0.9	质 0.8	钱 0.7	品质 0.6	价格 0.5	品 0.3999999999999999	力 0.29999999999999993	产量 0.19999999999999996	品牌 0.09999999999999998
RESULT	质量.v 2101007011	质量 1.0	了 0.9	量 0.8	产品 0.7	管理 0.6	生产 0.5	量产 0.3999999999999999	技术 0.29999999999999993	品质 0.19999999999999996	批量 0.09999999999999998
RESULT	质量.v 2101007022	质量 1.0	量 0.9	业 0.8	品 0.7	质 0.6	产业 0.5	产品 0.3999999999999999	品质 0.29999999999999993	工业 0.19999999999999996	科技 0.09999999999999998
RESULT	质量.v 2101008004	质量 1.0	量 0.9	质 0.8	美 0.7	钱 0.6	人 0.5	品质 0.3999999999999999	价值 0.29999999999999993	价格 0.19999999999999996	品牌 0.09999999999999998
RESULT	质量.v 2101009008	质量 1.0	量 0.9	质 0.8	钱 0.7	人 0.6	力 0.5	价格 0.3999999999999999	价值 0.29999999999999993	品质 0.19999999999999996	力量 0.09999999999999998
RESULT	质量.v 2101013003	质量 1.0	量 0.9	质 0.8	度 0.7	品质 0.6	力 0.5	价格 0.3999999999999999	量量 0.29999999999999993	数量 0.19999999999999996	产量 0.09999999999999998
RESULT	质量.v 2101019007	质量 1.0	量 0.9	质 0.8	好 0.7	性 0.6	钱 0.5	品牌 0.3999999999999999	量化 0.29999999999999993	品质 0.19999999999999996	价值 0.09999999999999998
RESULT	质量.v 2101027020	质量 1.0	质 0.9	有 0.8	量 0.7	品 0.6	品质 0.5	产品 0.3999999999999999	产量 0.29999999999999993	价格 0.19999999999999996	产地 0.09999999999999998
RESULT	质量.v 2101029010	、 1.0	， 0.9	和 0.8	一点 0.7	不怕 0.6	不是 0.5
RESULT	质量.v 2101031011	质量 1.0	假 0.9	钱 0.8	伪 0.7	不 0.6	质 0.5	价格 0.3999999999999999	品质 0.29999999999999993	品牌 0.19999999999999996	数量 0.09999999999999998
RESULT	质量.v 2101039007	质量 1.0	好 0.9	量 0.8	质 0.7	实 0.6	了 0.5	品牌 0.3999999999999999	产品 0.29999999999999993	管理 0.19999999999999996	品质 0.09999999999999998
RESULT	质量.v 2101039016	质量 1.0	量 0.9	质 0.8	品 0.7	业 0.6	品质 0.5	品牌 0.3999999999999999	产品 0.29999999999999993	量量 0.19999999999999996	产量 0.09999999999999998
RESULT	质量.v 2101041013	质量 1.0	质 0.9	量 0.8	质检 0.7	管理 0.6	量产 0.5	质保 0.3999999999999999	产品 0.29999999999999993	生产 0.19999999999999996	品质 0.09999999999999998
RESULT	质量.v 2101042006	质量 1.0	量 0.9	质 0.8	也 0.7	钱 0.6	品 0.5	品质 0.3999999999999999	产量 0.29999999999999993	产品 0.19999999999999996	价格 0.09999999999999998
