RESULT	增救.v 2100005001	救 2.360103017165401	保护 1.7931066188209615	保住 1.736622187260124	杀 1.544793045988785	生杀 1.5016750371595946	护 1.4228846120780734	放 1.4215957318614216	接 1.3371678831635874	延接 1.3201661652760588
RESULT	增救.v 2100006014	拯救 2.6861849374136826	救 2.6804660650241634	营救 2.6186303368889705	解救 2.5799075921763297	增援 2.38296051464826	帮 2.3753988790869665	保护 2.311945631425216	保住 2.1673403971756953	加害 2.092546356112904	劫持 2.0631925817281425
RESULT	女孩.v 2100005003	少女 2.23646371755772	孩子 2.1638422303513987	她 2.1264376962688063	男孩 2.05944485705201	女生 2.0393390755699854	小孩 2.03746609257384	女儿 1.9890806289095064	妇女 1.9143317418910946	妹妹 1.8980898800448796	少年 1.8846024046978072
RESULT	女孩.v 2100006003	男孩 2.6447393431099444	孩子 2.607891814564278	妇女 2.479177093787408	女童 2.4688873189611984	她 2.4417941409534407	女生 2.4284637346939064	儿子 2.404645827708128	小孩 2.3562791856836887	学生 2.260399496512089	她们 2.2438602357747226
RESULT	留.v 2100005006	留下 2.90916263132694	有 2.649726322352498	带 2.45318427311521	说出 2.296073263121584	保留 2.185408251576427	写 2.165605568093191	了 2.156774508020876	记住 2.1227397679409465	要求 2.028341648529281	记上 2.016450484571367
RESULT	姓名.v 2100005007	名 2.5319765939792727	名字 2.508600093811993	姓字 2.3448398075150836	姓氏 2.150061146948871	人名 2.0888299167664264	字迹 2.0222193225789598	字 1.9864538240904812	姓 1.9792648231541572	身份 1.930258025980453	笔名 1.9173745372669924
RESULT	父母.v 2100006005	家长 2.579484188888223	母亲 2.558538425391215	父亲 2.499135375352381	爸妈 2.460914553276073	家人 2.427645433035766	双亲 2.4263467198921793	妈妈 2.4173030517842418	爸爸 2.347552740600791	亲戚 2.2719191955777847	祖母 2.2125229887871933
RESULT	经.v 2100006006	经过 3.080119765049821	通过 2.8173241051420996	经由 2.591536183719939	已经 2.4337199323586765	再经 2.4331382425469394	几经 2.409941239341518	曾经 2.368893308061662	在 2.359563569322684	历经 2.3212326403184997	从 2.311136400282735
RESULT	多方.v 2100006007	多次 2.5176393070510916	四处 2.432988933322043	各方 2.424509070081793	多面 2.3869895030441426	几方 2.334214867916465	过 2.317415086392022	三方 2.3051330106422965	四方 2.284388436565432	常 2.255318870682175	过多 2.220097396996026
RESULT	打听.v 2100006008	查询 2.520061660663709	了解 2.4950513076797307	打探 2.45416338433262	查看 2.411404416721881	追问 2.3357118897396534	查 2.298726237029889	问 2.2854145336128306	沟通 2.2675800394689642	推测 2.2514425231576762	找寻 2.2296689114490933
RESULT	知道.v 2100006011	得知 2.5879839743087847	发现 2.515704674239891	知 2.4291402357873344	知晓 2.4253517271736564	明白 2.3826080963935095	了解 2.283992971250165	认出 2.214238396979033	确定 2.195234776572975	确认 2.155423964319028	发觉 2.152246715699362
RESULT	知道.v 2101039012	晓得 2.9131775606488834	明白 2.9092940503265847	发现 2.8912434717065416	得知 2.8885842913081103	了解 2.865050336725551	懂得 2.7921316523018427	认识 2.739976169264752	知 2.7257768390375703	知晓 2.7247163445875913	听说 2.6037042488298727
RESULT	孩子.v 2100006018	小孩 2.5744929414295035	儿子 2.5523012663909554	宝宝 2.383089070529905	子女 2.3765876217515247	女儿 2.369158026956065	女孩 2.2462712675394587	孙子 2.226678034117644	宝贝 2.203589929590951	男孩 2.198273713224443	孩儿 2.189129322743645
RESULT	孩子.v 2105007003	小孩 2.139311912881049	儿子 2.083799853740526	女孩 1.9756201579367736	男孩 1.9743769464550331	子女 1.9308217301707788	学生 1.9137502702882094	幼儿 1.826899808976626	儿童 1.8255796107729563	小子 1.812721320873005	婴儿 1.8106096463573351
RESULT	回老家.v 2101002003	回家 2.7532602637511068	回到 2.6259090933054003	老家 2.5482908513620495	返回 2.466559658464764	返乡 2.4285397670752054	归家 2.3783429594449665	返家 2.343069030072608	家乡 2.3387556821461675	在家 2.3297752024974225	来到 2.3116109597668695
RESULT	亲友.v 2101002007	亲戚 2.8398172671943875	朋友 2.8292901295250026	家人 2.7181588160603725	亲朋 2.6240692683840146	友人 2.6126026074207007	好友 2.6045170863365215	邻居 2.574539575122172	父母 2.5545662860956386	乡亲 2.5234545550750767	老友 2.5180430649874435
RESULT	谈.v 2101002008	聊 2.7491076236175407	说 2.656908903145135	讲 2.6003907341524526	提 2.3929874995474707	会谈 2.340169000190634	谈论 2.331981216770241	谈起 2.3217659393475776	谈谈 2.152470049375329	论 1.9684095584206267	再聊 1.9170770019873928
RESULT	谈.v 2101003017	谈论 2.4950033228397466	谈谈 2.4224112763166894	讨论 2.402609150197905	探讨 2.352186094514264	谈到 2.3438951803984467	讲 2.294941902709484	论述 2.270135457867915	聊 2.2699743296587487	论 2.2531814863639923	说 2.2323987066209585
RESULT	质量.v 2101002011	品质 2.7722278718821625	品味 2.445706774656123	品牌 2.444356592974954	质素 2.4380438444275683	优质 2.3690795693242337	价格 2.325753030216487	价值 2.2866001338597535	数量 2.283662459838357	产量 2.261437179585984	口碑 2.2581717340409186
RESULT	质量.v 2101003018	品质 2.3834208154286913	价格 2.1578779242238957	价值 2.087070481215388	品位 2.040565794223037	品牌 2.0217147857018323	精品 1.9890614388050132	信誉 1.9887268874687376	诚信 1.9842878127254395	量化 1.9752819036936422	效率 1.9714322437639917
RESULT	质量.v 2101005030	品质 1.9108513591465521	产量 1.7167653048910632	价格 1.6508116888846416	品牌 1.6465227080177913	产品 1.64122824991236	物质 1.6312206383880155	商品 1.604604858433929	数量 1.5981794550208905	生产 1.5848828646625386	量产 1.5529423730551701
RESULT	质量.v 2101006014	品质 2.771941984749542	品牌 2.4132272545378504	质素 2.334568117988298	精品 2.277007310157442	品位 2.2753984858440766	价格 2.209952613682714	价值 2.205180878476268	产量 2.1923767350662335	生产 2.17673066719502	诚信 2.1205831602114245
RESULT	质量.v 2101007011	品质 2.81729649884909	品牌 2.676012417275961	产品 2.599818445113243	技术 2.5787988572200207	工艺 2.5692673669996307	质检 2.5416299991338804	价格 2.539683524787952	量化 2.5066205256466088	生产 2.49659871189697	工作 2.485767072685557
RESULT	质量.v 2101007022	品质 2.6304943677052854	品牌 2.606923342876485	质 2.5725520989758257	量 2.5372692230830194	质素 2.517912037261467	科技 2.484198760423438	技术 2.482813005593825	精品 2.478562519116575	产品 2.461780251639837	产业 2.393900067120891
RESULT	质量.v 2101008004	品质 2.6919966573316416	质素 2.4760064045875083	质感 2.4233297513957455	品味 2.3493669914921353	品牌 2.3164546414802456	产品 2.3034554866368118	物质 2.2659825829360396	产量 2.247890781269551	精品 2.2376451033426	价格 2.232012113015236
RESULT	质量.v 2101009008	品质 2.780885917123028	物质 2.433393666652603	价格 2.3694080136567566	产品 2.344725542967491	品牌 2.333916827482009	质素 2.324660257017819	价值 2.290223632866989	品味 2.267154395411122	产量 2.2587680653989506	数量 2.249279080777199
RESULT	质量.v 2101013003	品质 2.8371661912829165	品味 2.395162698957291	品牌 2.3425981929167494	优质 2.2843094589464745	质素 2.2676016460106028	价格 2.1662370378434366	价值 2.132033584824403	性能 2.1124342298803196	产量 2.1007462905351355	数量 2.0999628064678952
RESULT	质量.v 2101019007	品质 1.915096660198632	品牌 1.6834408834227008	品味 1.4439480991704667	物质 1.4120315311742797	产量 1.3818611858782621	标准 1.3453979881861535	价格 1.340149196202081	商品 1.329633899390577	产品 1.3215014252683466	量化 1.319758233739714
RESULT	质量.v 2101027020	品质 2.034810535956531	质 1.7801880955492284	信誉 1.7562138665648257	产品 1.7218610781774755	价格 1.7164506698533102	货品 1.6999046602791796	品牌 1.6888745896287607	产量 1.6673437532555946	诚信 1.667171990606911	销量 1.6504545651346025
RESULT	质量.v 2101029010	一点 1.609625691173794	和 1.5820163662234157	、 1.4685955950948069	不怕 1.2748496620834162	不是 1.0079915445127507
RESULT	质量.v 2101031011	品质 2.5819970642710155	品牌 2.346880134560599	质素 2.2561843585512795	产品 2.066010997354787	产量 2.0152111083893436	精品 2.0125891130459586	质保 1.994173732767469	数量 1.9636277213222142	技术 1.8819974641742532	环保 1.8582613466398423
RESULT	质量.v 2101039007	品质 2.917975359212753	品牌 2.7264234535514174	价格 2.4836070036613234	产品 2.4831913406816697	技术 2.459313899599363	精品 2.455117162502667	信誉 2.4229323172608006	质子 2.414736481212668	管理 2.4107226926220644	量 2.4003544718978596
RESULT	质量.v 2101039016	品牌 2.8226889398647432	品质 2.7619015153951416	产品 2.5831895103678644	质素 2.571637070002098	技术 2.4970170003998233	精品 2.492626753358227	产量 2.4908386052211986	质 2.451939078343097	信誉 2.4379835116568374	商品 2.428930100347264
RESULT	质量.v 2101041013	品质 1.8659778643183897	质检 1.8540586603883948	质保 1.7695040627122964	管理 1.7400732207442269	生产 1.6954182940799816	品管 1.6893068011162167	技术 1.6875800944837693	产品 1.6744436700839138	品牌 1.6464228057151622	质 1.6452518818272894
RESULT	质量.v 2101042006	品质 2.024579494277987	价格 1.4878195954150875	精度 1.4864825029196407	技术 1.4834229791975573	信誉 1.4776808985164265	产品 1.4664755804670975	量 1.4625938046027533	产量 1.4575731845725728	效果 1.4413889269108315	规格 1.4331071957964374
RESULT	质量.v 2101045019	品质 2.585120879145238	优质 2.314926719428966	质素 2.3062375217895843	价格 2.270190076227577	品牌 2.2299748973632796	产量 2.2009768057842436	产品 2.196773468558881	品味 2.170652815769345	信誉 2.148616957398037	数量 2.137122668261424
RESULT	质量.v 2102001007	品质 2.895259429210944	优质 2.2644482938342554	产量 2.2527862521220214	质素 2.229338564136413	价格 2.1761082033639294	性能 2.147641946568227	性质 2.087345206057965	安全 2.080716243700748	信誉 2.068073591277406	量 2.0130982804121498
RESULT	质量.v 2102002016	品质 2.551851502978461	质素 2.2597477615927515	价值 2.134197304558554	品格 2.1003363665801573	品位 2.0995753223788642	性质 2.0933448975088353	水平 2.062419267584833	力量 1.9936104710013545	水准 1.9492767187340319	效率 1.9344843352511039
RESULT	质量.v 2102003010	品质 2.0483785701218142	质素 1.7368238942366312	质 1.7355437929729078	数量 1.690425786179128	产量 1.689218648304975	性能 1.670493810022844	品牌 1.632840538151092	性质 1.6257348940671352	价格 1.6119518197765141	量 1.6073773052829587
RESULT	质量.v 2102005009	品质 3.1622951589217085	质素 3.1546164278823765	品牌 3.0748973264833643	质保 3.069840446716891	技术 3.0614235496657156	品德 3.0555300344619347	安全 3.025043976640692	工作 3.022963150371297	产量 3.000363240236637	保质 2.9994117598970136
RESULT	质量.v 2102005019	品质 3.2057564508363283	质素 3.14483327842589	产量 3.098049771191892	科技 3.0690200322129138	品牌 3.0674671946862224	力量 3.063681480010041	价值 3.0632505780550687	效率 3.063072263194724	技术 3.0529374838747865	价格 3.0517615742934696
RESULT	质量.v 2102006006	品质 2.656602751910534	产量 2.4557878572531595	安全 2.4487295109653875	生产 2.4184573273911285	质检 2.38630272635687	销量 2.3410504643158703	产品 2.332077470700965	销售 2.318512334389046	重大 2.310480830667817	技术 2.285622959716237
RESULT	质量.v 2102007010	品质 3.5178164854784746	品德 3.055136825958543	品牌 2.9749729355249293	质素 2.8022283700996855	管理 2.6046100529454717	质检 2.5890754801908127	诚信 2.5857188025165616	保质 2.5481250053502222	安全 2.5340687980337733	信誉 2.5158914110016455
RESULT	质量.v 2102008030	品质 2.519331715731899	生产 2.3614283094821817	质控 2.347465293299713	工艺 2.344989207942027	质检 2.3268248234791655	技术 2.3094241218175378	产品 2.297115135320587	产量 2.2785792585270808	量化 2.2535922714522765	进度 2.231851924366325
RESULT	质量.v 2102008040	品质 2.5928493916511233	产量 2.3556381382089495	量 2.3064205428642985	安全 2.2705435965121397	效果 2.230429373382084	生产 2.2010722060216534	效率 2.1925024960473545	率 2.190801297782243	质 2.1885099653187496	时间 2.1857559476974973
RESULT	质量.v 2102009008	品质 2.8817684201767273	质检 2.667357847992607	安全 2.6608063424468478	生产 2.6298700002844813	检测 2.624492960958766	产量 2.61981948061305	管理 2.617893415595152	的 2.615695373408084	检验 2.6135048806092605	品牌 2.6104353778795297
RESULT	质量.v 2102009023	品质 2.847278465261227	质检 2.7254213662523283	产品 2.672952078297337	工艺 2.6390975055350427	检验 2.631864330290264	技术 2.6255064808736064	质保 2.623367300724418	安全 2.6131751006538826	生产 2.612837340982665	检测 2.5987088030673395
RESULT	质量.v 2102009029	品质 2.952687583626233	安全 2.884882814585461	产品 2.8126907456554653	生产 2.7891917272773075	品牌 2.7504077706363828	工作 2.7328634264838234	技术 2.7089389052191284	产量 2.6770988897299413	环境 2.670188996900724	工艺 2.6648305762190923
RESULT	质量.v 2102014014	品质 2.139274429704654	材质 1.8571578623831995	产品 1.841210255390835	数量 1.834488704419194	质检 1.8263564699525017	产量 1.8247767508250916	批量 1.8156810039886866	食品 1.790778137859749	标准 1.7905702517643405	生产 1.7753966383710342
RESULT	质量.v 2102015017	品质 3.2671930016799102	的 3.156232234207953	技术 3.12021559383716	质检 3.112162805024558	批量 3.075120425701032	检验 3.062384919114381	产品 3.0551832119261775	数量 3.0410339664833033	总 3.0402237588813534	测试 3.036822176902341
RESULT	质量.v 2102015029	品质 3.20330037363476	资质 3.1592417668110855	质检 3.1389146110942363	检验 3.0923867688579385	技术 3.0750238187811285	合格 3.061592691336671	产品 3.0580523258612913	品牌 3.0556083815640527	资格 3.054972416358341	检测 3.029067155734981
RESULT	质量.v 2102016012	品质 2.421942380544312	质素 2.097040689227414	优质 2.056072450894934	产量 1.9933290390433032	性能 1.9009921991529322	价格 1.8967668049322624	信誉 1.875565752028758	安全 1.847273641122431	性质 1.8452152732121336	价值 1.8392834680665793
RESULT	质量.v 2104006021	品质 2.4662823979167015	产量 2.369973189431246	数量 2.251561902008678	质 2.208838841780181	性能 2.1902117793277176	量 2.1432558028951574	性质 2.1363286505361208	效果 2.114259840213906	面积 2.1142139010569876	生产 2.1068430684006887
RESULT	征文.v 2101002017	征集 2.5881473875372585	徵文 2.5698839070507153	作文 2.567787653550491	征稿 2.5303058175015294	文章 2.5074863410062247	论文 2.4943264902705735	评选 2.458831276361797	竞赛 2.4516937584511913	投稿 2.4176222156041387	写作 2.41578469570549
