RESULT	增救.v 2100005001	增援 1.0	增收 0.9	增补 0.8	增修 0.7	增给 0.6	增强 0.5	增生 0.3999999999999999	增加 0.29999999999999993
RESULT	增救.v 2100006014	增援 1.0	增补 0.9	增加 0.8	增强 0.7	增给 0.6	增修 0.5	增收 0.3999999999999999	增添 0.29999999999999993	增上 0.19999999999999996
RESULT	女孩.v 2100005003	女孩 1.0	小女 0.9	孩子 0.8	少女 0.7	她 0.6	妇人 0.5	小孩 0.3999999999999999	小姑 0.29999999999999993	姑娘 0.19999999999999996	妇女 0.09999999999999998
RESULT	女孩.v 2100006003	女孩 1.0	小女 0.9	孩子 0.8	少女 0.7	姑娘 0.6	妇女 0.5	她 0.3999999999999999	妇人 0.29999999999999993	小姑 0.19999999999999996	小孩 0.09999999999999998
RESULT	留.v 2100005006	留下 1.0	加上 0.9	报 0.8	记住 0.7	带 0.6	告 0.5	写 0.3999999999999999	遗留 0.29999999999999993	保留 0.19999999999999996	说 0.09999999999999998
RESULT	姓名.v 2100005007	姓名 1.0	名 0.9	名字 0.8	信息 0.7	着名 0.6	电话 0.5	身份 0.3999999999999999	任何 0.29999999999999993	人名 0.19999999999999996	笔名 0.09999999999999998
RESULT	父母.v 2100006005	父母 1.0	爸爸 0.9	爸妈 0.8	家长 0.7	家人 0.6	母亲 0.5	爹妈 0.3999999999999999	双亲 0.29999999999999993	父亲 0.19999999999999996	爹地 0.09999999999999998
RESULT	经.v 2100006006	经 1.0	通过 0.9	曾经 0.8	在 0.7	从 0.6	由 0.5	历经 0.3999999999999999	因 0.29999999999999993	途经 0.19999999999999996	已经 0.09999999999999998
RESULT	多方.v 2100006007	多方 1.0	多次 0.9	多番 0.8	过多 0.7	四处 0.6	多处 0.5	反复 0.3999999999999999	数方 0.29999999999999993	四方 0.19999999999999996	几番 0.09999999999999998
RESULT	打听.v 2100006008	打听 1.0	查问 0.9	探听 0.8	搜索 0.7	查询 0.6	调查 0.5	寻找 0.3999999999999999	了解 0.29999999999999993	寻问 0.19999999999999996	考虑 0.09999999999999998
RESULT	知道.v 2100006011	知道 1.0	得知 0.9	晓得 0.8	知 0.7	明白 0.6	发现 0.5	知晓 0.3999999999999999	晓 0.29999999999999993	发觉 0.19999999999999996	了解 0.09999999999999998
RESULT	知道.v 2101039012	知道 1.0	晓得 0.9	明白 0.8	懂得 0.7	发现 0.6	懂 0.5	了解 0.3999999999999999	理解 0.29999999999999993	晓 0.19999999999999996	得知 0.09999999999999998
RESULT	孩子.v 2100006018	小孩 1.0	小女 0.9	儿子 0.8	婴儿 0.7	娃娃 0.6	生命 0.5	小命 0.3999999999999999	幼儿 0.29999999999999993	宝贝 0.19999999999999996	男孩 0.09999999999999998
RESULT	孩子.v 2105007003	孩子 1.0	小孩 0.9	娃娃 0.8	儿子 0.7	娃子 0.6	儿童 0.5	女孩 0.3999999999999999	娃儿 0.29999999999999993	幼儿 0.19999999999999996	孩童 0.09999999999999998
RESULT	回老家.v 2101002003	回老家 1.0	回家 0.9	回乡 0.8	回娘家 0.7	回忆 0.6	返家 0.5
RESULT	亲友.v 2101002007	亲友 1.0	朋友 0.9	亲朋 0.8	友人 0.7	乡亲 0.6	友 0.5	亲人 0.3999999999999999	人 0.29999999999999993	乡友 0.19999999999999996	熟人 0.09999999999999998
RESULT	谈.v 2101002008	谈 1.0	聊 0.9	说 0.8	提 0.7	讲 0.6	交谈 0.5	讨论 0.3999999999999999	闲谈 0.29999999999999993	叙说 0.19999999999999996	道 0.09999999999999998
RESULT	谈.v 2101003017	谈 1.0	讲 0.9	说 0.8	看 0.7	聊聊 0.6	讨论 0.5	论 0.3999999999999999	分析 0.29999999999999993	探讨 0.19999999999999996	评价 0.09999999999999998
