RESULT	增救.v 2100005001	增援 1.0	增收 0.9	增补 0.8	增修 0.7	增强 0.6	增给 0.5	增加 0.3999999999999999	增重 0.29999999999999993
RESULT	增救.v 2100006014	增援 1.0	增加 0.9	增补 0.8	增强 0.7	增给 0.6	增修 0.5	增收 0.3999999999999999	增添 0.29999999999999993	增上 0.19999999999999996
RESULT	女孩.v 2100005003	女孩 1.0	孩子 0.9	小女 0.8	少女 0.7	她 0.6	妇人 0.5	小孩 0.3999999999999999	妇女 0.29999999999999993	小姑 0.19999999999999996	姑娘 0.09999999999999998
RESULT	女孩.v 2100006003	女孩 1.0	小女 0.9	孩子 0.8	少女 0.7	姑娘 0.6	妇女 0.5	她 0.3999999999999999	小姑 0.29999999999999993	妇人 0.19999999999999996	小孩 0.09999999999999998
RESULT	留.v 2100005006	留下 1.0	加上 0.9	报 0.8	告 0.7	记住 0.6	带 0.5	遗留 0.3999999999999999	保留 0.29999999999999993	写 0.19999999999999996	说 0.09999999999999998
RESULT	姓名.v 2100005007	姓名 1.0	名 0.9	信息 0.8	着名 0.7	电话 0.6	名字 0.5	任何 0.3999999999999999	身份 0.29999999999999993	人名 0.19999999999999996	笔名 0.09999999999999998
RESULT	父母.v 2100006005	父母 1.0	爸爸 0.9	爸妈 0.8	家长 0.7	母亲 0.6	家人 0.5	双亲 0.3999999999999999	爹妈 0.29999999999999993	爹地 0.19999999999999996	父亲 0.09999999999999998
RESULT	经.v 2100006006	经 1.0	通过 0.9	曾经 0.8	在 0.7	由 0.6	因 0.5	从 0.3999999999999999	途经 0.29999999999999993	历经 0.19999999999999996	已经 0.09999999999999998
RESULT	多方.v 2100006007	多方 1.0	多次 0.9	多番 0.8	过多 0.7	四处 0.6	多处 0.5	反复 0.3999999999999999	四方 0.29999999999999993	数方 0.19999999999999996	一再 0.09999999999999998
RESULT	打听.v 2100006008	打听 1.0	查问 0.9	探听 0.8	搜索 0.7	寻找 0.6	查询 0.5	调查 0.3999999999999999	查证 0.29999999999999993	了解 0.19999999999999996	考察 0.09999999999999998
RESULT	知道.v 2100006011	知道 1.0	得知 0.9	晓得 0.8	知 0.7	明白 0.6	知晓 0.5	发现 0.3999999999999999	晓 0.29999999999999993	发觉 0.19999999999999996	了解 0.09999999999999998
RESULT	知道.v 2101039012	知道 1.0	晓得 0.9	明白 0.8	懂得 0.7	理解 0.6	发现 0.5	晓 0.3999999999999999	懂 0.29999999999999993	了解 0.19999999999999996	得知 0.09999999999999998
RESULT	孩子.v 2100006018	小孩 1.0	婴儿 0.9	小女 0.8	儿子 0.7	幼儿 0.6	娃娃 0.5	小命 0.3999999999999999	生命 0.29999999999999993	宝贝 0.19999999999999996	亲生 0.09999999999999998
RESULT	孩子.v 2105007003	孩子 1.0	娃娃 0.9	小孩 0.8	儿子 0.7	娃子 0.6	娃儿 0.5	女孩 0.3999999999999999	儿童 0.29999999999999993	幼儿 0.19999999999999996	孩童 0.09999999999999998
RESULT	回老家.v 2101002003	回老家 1.0	回家 0.9	回乡 0.8	回娘家 0.7	回忆 0.6	回国 0.5
RESULT	亲友.v 2101002007	亲友 1.0	朋友 0.9	友人 0.8	亲朋 0.7	乡亲 0.6	友 0.5	亲人 0.3999999999999999	友朋 0.29999999999999993	乡友 0.19999999999999996	人 0.09999999999999998
RESULT	谈.v 2101002008	谈 1.0	聊 0.9	说 0.8	提 0.7	讲 0.6	交流 0.5	讨论 0.3999999999999999	闲谈 0.29999999999999993	叙说 0.19999999999999996	探讨 0.09999999999999998
RESULT	谈.v 2101003017	谈 1.0	讲 0.9	说 0.8	聊聊 0.7	看 0.6	讨论 0.5	论 0.3999999999999999	分析 0.29999999999999993	探讨 0.19999999999999996	议论 0.09999999999999998
RESULT	质量.v 2101002011	质量 1.0	品质 0.9	素质 0.8	产品 0.7	品牌 0.6	名牌 0.5	信誉 0.3999999999999999	水质 0.29999999999999993	水准 0.19999999999999996	口碑 0.09999999999999998
RESULT	质量.v 2101003018	质量 1.0	品质 0.9	价格 0.8	管理 0.7	效率 0.6	优质 0.5	效益 0.3999999999999999	贸易 0.29999999999999993	竞争 0.19999999999999996	品牌 0.09999999999999998
RESULT	质量.v 2101005030	质量 1.0	品质 0.9	产品 0.8	产量 0.7	素质 0.6	效率 0.5	品牌 0.3999999999999999	成品 0.29999999999999993	品德 0.19999999999999996	量产 0.09999999999999998
RESULT	质量.v 2101006014	质量 1.0	品质 0.9	品牌 0.8	素质 0.7	产量 0.6	产品 0.5	效率 0.3999999999999999	质素 0.29999999999999993	量价 0.19999999999999996	质检 0.09999999999999998
RESULT	质量.v 2101007011	质量 1.0	品质 0.9	产品 0.8	品牌 0.7	质检 0.6	工艺 0.5	技术 0.3999999999999999	制造 0.29999999999999993	生产 0.19999999999999996	产量 0.09999999999999998
RESULT	质量.v 2101007022	品质 1.0	品牌 0.9	产量 0.8	产品 0.7	精品 0.6	优质 0.5	素质 0.3999999999999999	科技 0.29999999999999993	工艺 0.19999999999999996	名牌 0.09999999999999998
RESULT	质量.v 2101008004	质量 1.0	品质 0.9	产品 0.8	质素 0.7	质 0.6	品牌 0.5	素质 0.3999999999999999	工艺 0.29999999999999993	量 0.19999999999999996	精品 0.09999999999999998
RESULT	质量.v 2101009008	质量 1.0	品质 0.9	量 0.8	产品 0.7	数量 0.6	量价 0.5	素质 0.3999999999999999	品牌 0.29999999999999993	产量 0.19999999999999996	量化 0.09999999999999998
RESULT	质量.v 2101013003	质量 1.0	品质 0.9	素质 0.8	品牌 0.7	量价 0.6	质素 0.5	产品 0.3999999999999999	水平 0.29999999999999993	量 0.19999999999999996	信誉 0.09999999999999998
RESULT	质量.v 2101019007	质量 1.0	品质 0.9	品牌 0.8	品位 0.7	量化 0.6	品德 0.5	量值 0.3999999999999999	素质 0.29999999999999993	水平 0.19999999999999996	名牌 0.09999999999999998
RESULT	质量.v 2101027020	质量 1.0	品质 0.9	品牌 0.8	信誉 0.7	产品 0.6	正品 0.5	品种 0.3999999999999999	素质 0.29999999999999993	质 0.19999999999999996	价格 0.09999999999999998
RESULT	质量.v 2101029010	质量 1.0	品质 0.9	素质 0.8	量量 0.7	品牌 0.6	质素 0.5	量值 0.3999999999999999	优质 0.29999999999999993	量化 0.19999999999999996	品位 0.09999999999999998
RESULT	质量.v 2101031011	质量 1.0	品质 0.9	品牌 0.8	产品 0.7	素质 0.6	效益 0.5	质素 0.3999999999999999	产量 0.29999999999999993	管理 0.19999999999999996	生产 0.09999999999999998
RESULT	质量.v 2101039007	质量 1.0	品质 0.9	质检 0.8	优质 0.7	素质 0.6	质素 0.5	求质 0.3999999999999999	品牌 0.29999999999999993	质保 0.19999999999999996	评价 0.09999999999999998
RESULT	质量.v 2101039016	品质 1.0	品牌 0.9	产量 0.8	素质 0.7	产品 0.6	精品 0.5	优质 0.3999999999999999	品位 0.29999999999999993	科技 0.19999999999999996	信誉 0.09999999999999998
RESULT	质量.v 2101041013	质量 1.0	质检 0.9	品质 0.8	生产 0.7	质保 0.6	质控 0.5	产品 0.3999999999999999	质优 0.29999999999999993	质素 0.19999999999999996	制造 0.09999999999999998
RESULT	质量.v 2101042006	质量 1.0	品质 0.9	素质 0.8	产品 0.7	工艺 0.6	工作 0.5	效果 0.3999999999999999	质素 0.29999999999999993	水平 0.19999999999999996	性能 0.09999999999999998
RESULT	质量.v 2101045019	质量 1.0	品质 0.9	品牌 0.8	产品 0.7	价格 0.6	效益 0.5	品位 0.3999999999999999	产量 0.29999999999999993	信誉 0.19999999999999996	品种 0.09999999999999998
RESULT	质量.v 2102001007	质量 1.0	素质 0.9	安全 0.8	精度 0.7	质素 0.6	优质 0.5	水平 0.3999999999999999	性能 0.29999999999999993	力量 0.19999999999999996	档次 0.09999999999999998
RESULT	质量.v 2102002016	质量 1.0	品质 0.9	素质 0.8	水平 0.7	质素 0.6	精神 0.5	品德 0.3999999999999999	高度 0.29999999999999993	品格 0.19999999999999996	质地 0.09999999999999998
RESULT	质量.v 2102003010	质量 1.0	素质 0.9	优质 0.8	质素 0.7	安全 0.6	保质 0.5	性能 0.3999999999999999	质检 0.29999999999999993	力量 0.19999999999999996	量 0.09999999999999998
RESULT	质量.v 2102005009	质量 1.0	素质 0.9	品质 0.8	质素 0.7	品德 0.6	技术 0.5	科学 0.3999999999999999	产品 0.29999999999999993	质检 0.19999999999999996	品牌 0.09999999999999998
